line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
1,LOT_CAPACITY_EXCEEDED,1126021635,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021635 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
2,LOT_CAPACITY_EXCEEDED,1126021636,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021636 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
3,LOT_CAPACITY_EXCEEDED,1126021637,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021637 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
4,LOT_CAPACITY_EXCEEDED,1126021646,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021646 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
5,LOT_CAPACITY_EXCEEDED,1126021647,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021647 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
6,LOT_CAPACITY_EXCEEDED,1126021651,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021651 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
7,LOT_CAPACITY_EXCEEDED,1126021652,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021652 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
8,LOT_CAPACITY_EXCEEDED,1126021653,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021653 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
9,LOT_CAPACITY_EXCEEDED,1126021654,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021654 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
10,LOT_CAPACITY_EXCEEDED,1126021655,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021655 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
11,LOT_CAPACITY_EXCEEDED,1126021668,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021668 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
12,LOT_CAPACITY_EXCEEDED,1126021714,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021714 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
13,LOT_CAPACITY_EXCEEDED,1126021716,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021716 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
14,LOT_CAPACITY_EXCEEDED,1126021717,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021717 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
15,LOT_CAPACITY_EXCEEDED,1126021718,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021718 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
16,LOT_CAPACITY_EXCEEDED,1126021719,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021719 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
17,LOT_CAPACITY_EXCEEDED,1126021720,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021720 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
18,LOT_CAPACITY_EXCEEDED,1126021721,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021721 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
19,LOT_CAPACITY_EXCEEDED,1126021722,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021722 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
20,LOT_CAPACITY_EXCEEDED,1126021723,TEST CUSTOMER,5.0,"[LOT_CAPACITY_EXCEEDED] LOT 가용재고 초과: 1126021723 현재가용=0kg, 기활성배정=0kg, 신규요청=5000kg (합계=5000kg > 가용)"
